country_name,country_code,currency_code
AUSTRIA,AT,ATS
BELGIUM,BE,BEF
CROATIA,HR,HRD
CYPRUS,CY,CYP
ESTONIA,EE,EEK
FINLAND,FI,FIM
FRANCE,FR,FRF
FRENCH GUIANA,GF,FRF
FRENCH SOUTHERN TERRITORIES (THE),TF,FRF
GERMANY,DE,DEM
GREECE,GR,GRD
IRELAND,IE,IEP
ITALY,IT,ITL
KOSOVO,XK,EUR
LATVIA,LV,LVL
LITHUANIA,LT,LTL
LUXEMBOURG,LU,LUF
MALTA,MT,MTL
NETHERLANDS (THE),NL,NLG
PORTUGAL,PT,PTE
SLOVAKIA,SK,SKK
SLOVENIA,SI,SIT
SPAIN,ES,ESP
GUADELOUPE,GP,FRF
HOLY SEE (THE),VA,ITL
MARTINIQUE,MQ,FRF
MAYOTTE,YT,FRF
MONTENEGRO,ME,EUR
RÉUNION,RE,FRF
SAINT BARTHÉLEMY,BL,FRF
SAINT MARTIN (FRENCH PART),MF,FRF
SAINT PIERRE AND MIQUELON,PM,FRF
SAN MARINO,SM,ITL
